X[m], Y[m], Z[m], Power[dBm], Phase[deg], nCap, nAnalyticPath, nAfterFiltering, nDuplicateRemoved
26, 1, 2, -42.143, -175.43, 5, 5, 5, 5
26, 1.5, 2, nan, nan, 5, 5, 5, 5
26.5, -1.5, 2, -41.565, -81.192, 5, 5, 5, 5
26.5, -1, 2, -32.056, -67.085, 5, 5, 5, 5
26.5, -0.5, 2, -37.286, -139.43, 5, 5, 5, 5
26.5, 0, 2, -39.228, -136.45, 5, 5, 5, 5
26.5, 0.5, 2, -37.5, 14.105, 5, 5, 5, 5
26.5, 1, 2, -38.424, 39.717, 5, 5, 5, 5
26.5, 1.5, 2, -43.693, 80.715, 5, 5, 5, 5
27, -1.5, 2, nan, nan, 5, 5, 5, 5
27, -1, 2, -32.159, -175.4, 5, 5, 5, 5
27, -0.5, 2, -40.151, 115.53, 5, 5, 5, 5
27, 0, 2, -39.055, 120.51, 5, 5, 5, 5
27, 0.5, 2, -40.981, -125.35, 5, 5, 5, 5
27, 1, 2, -35.31, -75.957, 5, 5, 5, 5
27, 1.5, 2, nan, nan, 5, 5, 5, 5
27.5, -1.5, 2, nan, nan, 4, 4, 4, 4
27.5, -1, 2, -32.045, 75.183, 5, 5, 5, 5
27.5, -0.5, 2, -44.795, 6.342, 5, 5, 5, 5
27.5, 0, 2, -39.101, 14.59, 5, 5, 5, 5
27.5, 0.5, 2, -39.129, 83.715, 5, 5, 5, 5
27.5, 1, 2, -33.974, 175.53, 5, 5, 5, 5
27.5, 1.5, 2, nan, nan, 5, 5, 5, 5
28, -1.5, 2, nan, nan, 5, 5, 5, 5
28, -1, 2, -31.731, -33.902, 5, 5, 5, 5
28, -0.5, 2, -53.099, -128.16, 5, 5, 5, 5
28, 0, 2, -39.386, -92.736, 5, 5, 5, 5
28, 0.5, 2, -35.48, -40.372, 5, 5, 5, 5
28, 1, 2, -33.949, 67.531, 5, 5, 5, 5
28, 1.5, 2, -39.893, -90.739, 5, 5, 5, 5
28.5, -1.5, 2, nan, nan, 5, 5, 5, 5
28.5, -1, 2, -31.346, -141.81, 5, 5, 5, 5
28.5, -0.5, 2, -51.253, 36.529, 5, 5, 5, 5
28.5, 0, 2, -39.984, 159.55, 5, 5, 5, 5
28.5, 0.5, 2, -33.047, -152.38, 5, 5, 5, 5
28.5, 1, 2, -34.961, -43.178, 5, 5, 5, 5
28.5, 1.5, 2, -38.765, -166.08, 5, 5, 5, 5
29, -1.5, 2, nan, nan, 4, 4, 4, 4
29, -1, 2, -31.032, 111.57, 5, 5, 5, 5
29, -0.5, 2, -45.464, -85.722, 5, 5, 5, 5
29, 0, 2, -41.04, 52.111, 5, 5, 5, 5
29, 0.5, 2, -31.655, 99.417, 5, 5, 5, 5
29, 1, 2, -36.71, -160.16, 5, 5, 5, 5
29, 1.5, 2, -38.26, 114.3, 5, 5, 5, 5
29.5, -1.5, 2, -43.51, 131.39, 4, 4, 4, 4
29.5, -1, 2, -30.886, 5.915, 5, 5, 5, 5
29.5, -0.5, 2, -42.735, 165.95, 5, 5, 5, 5
29.5, 0, 2, -42.8, -54.443, 5, 5, 5, 5
29.5, 0.5, 2, -31.043, -7.5095, 5, 5, 5, 5
29.5, 1, 2, -38.307, 72.87, 5, 5, 5, 5
29.5, 1.5, 2, -38.325, 31.78, 5, 5, 5, 5
30, -1.5, 2, nan, nan, 4, 4, 4, 4
30, -1, 2, -30.956, -99.162, 5, 5, 5, 5
30, -0.5, 2, -41.495, 60.339, 5, 5, 5, 5
30, 0, 2, -45.763, -158.87, 5, 5, 5, 5
30, 0.5, 2, -31.069, -114.07, 5, 5, 5, 5
30, 1, 2, -38.233, -59.23, 5, 5, 5, 5
30, 1.5, 2, -38.929, -53.004, 5, 5, 5, 5
30.5, -1.5, 2, -42.689, -44.546, 4, 4, 4, 4
30.5, -1, 2, -31.266, 155.97, 5, 5, 5, 5
30.5, -0.5, 2, -41.208, -44.508, 5, 5, 5, 5
30.5, 0, 2, -51.333, 104.93, 5, 5, 5, 5
30.5, 0.5, 2, -31.682, 139.33, 5, 5, 5, 5
30.5, 1, 2, -36.805, 176.02, 5, 5, 5, 5
30.5, 1.5, 2, nan, nan, 5, 5, 5, 5
31, -1.5, 2, nan, nan, 4, 4, 4, 4
