X[m], Y[m], Z[m], Power[dBm], Phase[deg], nCap, nAnalyticPath, nAfterFiltering, nDuplicateRemoved
23, 0, 2, -34.761, -161.92, 12, 12, 12, 9
23, 0.5, 2, -34.471, 173.66, 12, 12, 12, 9
23, 1, 2, -35.934, 91.28, 12, 12, 12, 9
23, 1.5, 2, nan, nan, 12, 12, 12, 9
23.5, -1.5, 2, nan, nan, 12, 12, 12, 9
23.5, -1, 2, -36.252, -3.7514, 12, 12, 12, 9
23.5, -0.5, 2, -30.442, 87.719, 12, 12, 12, 9
23.5, 0, 2, -28.976, 117.49, 12, 12, 12, 9
23.5, 0.5, 2, -30.442, 87.719, 12, 12, 12, 9
23.5, 1, 2, -36.252, -3.7514, 12, 12, 12, 9
23.5, 1.5, 2, nan, nan, 12, 12, 12, 9
24, -1.5, 2, nan, nan, 12, 12, 12, 9
24, -1, 2, -34.811, -75.411, 12, 12, 12, 9
24, -0.5, 2, -30.506, 24.023, 12, 12, 12, 9
24, 0, 2, -29.312, 55.974, 12, 12, 12, 9
24, 0.5, 2, -30.506, 24.023, 12, 12, 12, 9
24, 1, 2, -34.811, -75.411, 12, 12, 12, 9
24, 1.5, 2, nan, nan, 12, 12, 12, 9
24.5, -1.5, 2, nan, nan, 12, 12, 12, 9
24.5, -1, 2, -38.264, -124.3, 12, 12, 12, 9
24.5, -0.5, 2, -35.029, -32.65, 12, 12, 12, 9
24.5, 0, 2, -34.099, -2.1534, 12, 12, 12, 9
24.5, 0.5, 2, -35.029, -32.65, 12, 12, 12, 9
24.5, 1, 2, -38.264, -124.3, 12, 12, 12, 9
24.5, 1.5, 2, nan, nan, 12, 12, 12, 9
25, -1.5, 2, nan, nan, 12, 12, 12, 9
25, -1, 2, -51.031, -128.05, 12, 12, 12, 9
25, -0.5, 2, -48.343, -70.283, 12, 12, 12, 9
25, 0, 2, -47.189, -47.272, 12, 12, 12, 9
25, 0.5, 2, -48.343, -70.283, 12, 12, 12, 9
25, 1, 2, -51.031, -128.05, 12, 12, 12, 9
25, 1.5, 2, nan, nan, 12, 12, 12, 9
25.5, -1.5, 2, nan, nan, 12, 12, 12, 9
25.5, -1, 2, -45.945, -60.157, 12, 12, 12, 9
25.5, -0.5, 2, -46.174, 23.89, 12, 12, 12, 9
25.5, 0, 2, -46.299, 52.067, 12, 12, 12, 9
25.5, 0.5, 2, -46.174, 23.89, 12, 12, 12, 9
25.5, 1, 2, -45.945, -60.157, 12, 12, 12, 9
25.5, 1.5, 2, nan, nan, 12, 12, 12, 9
26, -1.5, 2, nan, nan, 12, 12, 12, 9
26, -1, 2, -43.264, -75.324, 12, 12, 12, 9
26, -0.5, 2, -41.874, -4.4756, 12, 12, 12, 9
26, 0, 2, -41.39, 19.909, 12, 12, 12, 9
26, 0.5, 2, -41.874, -4.4756, 12, 12, 12, 9
26, 1, 2, -43.264, -75.324, 12, 12, 12, 9
26, 1.5, 2, nan, nan, 12, 12, 12, 9
26.5, -1.5, 2, nan, nan, 12, 12, 12, 9
26.5, -1, 2, -42.092, -104.63, 12, 12, 12, 9
26.5, -0.5, 2, -38.677, -43.514, 12, 12, 12, 9
26.5, 0, 2, -37.561, -20.721, 12, 12, 12, 9
26.5, 0.5, 2, -38.677, -43.514, 12, 12, 12, 9
26.5, 1, 2, -42.092, -104.63, 12, 12, 12, 9
26.5, 1.5, 2, nan, nan, 12, 12, 12, 9
27, -1.5, 2, nan, nan, 12, 12, 12, 9
27, -1, 2, -44.555, -170.62, 12, 12, 12, 9
27, -0.5, 2, -36.449, -107.75, 12, 12, 12, 9
27, 0, 2, -34.466, -83.009, 12, 12, 12, 9
27, 0.5, 2, -36.449, -107.75, 12, 12, 12, 9
27, 1, 2, -44.555, -170.62, 12, 12, 12, 9
27, 1.5, 2, nan, nan, 12, 12, 12, 9
27.5, -1.5, 2, nan, nan, 12, 12, 12, 9
27.5, -1, 2, -43.796, 50.204, 12, 12, 12, 9
27.5, -0.5, 2, -35.521, 168.25, 12, 12, 12, 9
27.5, 0, 2, -33.026, -159.3, 12, 12, 12, 9
27.5, 0.5, 2, -35.521, 168.25, 12, 12, 12, 9
27.5, 1, 2, -43.796, 50.204, 12, 12, 12, 9
27.5, 1.5, 2, nan, nan, 12, 12, 12, 9
28, -1.5, 2, -43.979, -169.74, 10, 10, 10, 7
28, -1, 2, -36.382, -41.738, 12, 12, 12, 9
28, -0.5, 2, -34.636, 71.891, 12, 12, 12, 9
28, 0, 2, -33.17, 114.58, 12, 12, 12, 9
28, 0.5, 2, -34.636, 71.891, 12, 12, 12, 9
28, 1, 2, -36.382, -41.738, 12, 12, 12, 9
28, 1.5, 2, -43.891, -165.45, 12, 12, 12, 9
28.5, -1.5, 2, nan, nan, 10, 10, 10, 7
28.5, -1, 2, -33.238, -113.64, 12, 12, 12, 9
28.5, -0.5, 2, -33.355, -24.102, 12, 12, 12, 9
28.5, 0, 2, -34.53, 17.903, 12, 12, 12, 9
28.5, 0.5, 2, -33.355, -24.102, 12, 12, 12, 9
28.5, 1, 2, -33.238, -113.64, 12, 12, 12, 9
28.5, 1.5, 2, nan, nan, 12, 12, 12, 9
29, -1.5, 2, nan, nan, 10, 10, 10, 7
29, -1, 2, -33.138, 176.22, 12, 12, 12, 9
29, -0.5, 2, -33.004, -115.5, 12, 12, 12, 9
29, 0, 2, -36.297, -94.718, 12, 12, 12, 9
29, 0.5, 2, -33.004, -115.5, 12, 12, 12, 9
29, 1, 2, -33.138, 176.22, 12, 12, 12, 9
29, 1.5, 2, nan, nan, 12, 12, 12, 9
29.5, -1.5, 2, nan, nan, 10, 10, 10, 7
29.5, -1, 2, -35.556, 105.26, 12, 12, 12, 9
29.5, -0.5, 2, -34.368, 153.41, 12, 12, 12, 9
29.5, 0, 2, -35.482, 141.4, 12, 12, 12, 9
29.5, 0.5, 2, -34.368, 153.41, 12, 12, 12, 9
29.5, 1, 2, -35.556, 105.26, 12, 12, 12, 9
29.5, 1.5, 2, nan, nan, 12, 12, 12, 9
30, -1.5, 2, -44.641, 122.57, 12, 12, 12, 9
30, -1, 2, -40.795, 35.808, 12, 12, 12, 9
30, -0.5, 2, -38.499, 55.026, 12, 12, 12, 9
30, 0, 2, -32.918, 30.935, 12, 12, 12, 9
30, 0.5, 2, -38.499, 55.026, 12, 12, 12, 9
30, 1, 2, -40.795, 35.808, 12, 12, 12, 9
30, 1.5, 2, -44.641, 122.57, 12, 12, 12, 9
30.5, -1.5, 2, -43.999, 102.25, 12, 12, 12, 9
30.5, -1, 2, -49.694, -21.135, 12, 12, 12, 9
30.5, -0.5, 2, -43.949, -95.332, 12, 12, 12, 9
30.5, 0, 2, -31.013, -68.642, 12, 12, 12, 9
30.5, 0.5, 2, -43.949, -95.332, 12, 12, 12, 9
